feature,accuracy,precision,recall,specificity,f1-score,AuROC
W-MemOffsetMode.MIN_REF-2000/svm/std,0.578501939237,0.566965778095,0.929606625259,0.0260504201681,0.704013477331,0.477828522713
W-MemOffsetMode.MIN_REF-2000/rf/None,0.578657616893,0.863772175537,0.781469979296,0.825303643725,0.814832186783,0.80338681151
W-MemOffsetMode.MIN_REF-2000/rf/std,0.574379383536,0.790711985277,0.760573295985,0.734285714286,0.772743782912,0.747429505135
R-MemOffsetMode.SUM_REF_ASC-2000/svm/None,0.590702693213,0.559413616999,0.871023154704,0.00869565217391,0.677285085604,0.439859403439
R-MemOffsetMode.SUM_REF_ASC-2000/svm/std,0.587142653869,0.573774172811,0.947417956656,0.0,0.713529362204,0.473708978328
R-MemOffsetMode.SUM_REF_ASC-2000/rf/None,0.590703129776,0.7353003663,0.779912845775,0.594561403509,0.755686168468,0.687237124642
R-MemOffsetMode.SUM_REF_ASC-2000/rf/std,0.591818109103,0.748677248677,0.760073260073,0.639641382869,0.750317767339,0.699857321471
R-MemOffsetMode.MAX_REF-2000/svm/None,0.595957645958,0.660822510823,0.864,0.2,0.680166830797,0.532
R-MemOffsetMode.MAX_REF-2000/svm/std,0.599665170246,0.599665170246,1.0,0.0,0.747948747238,0.5
R-MemOffsetMode.MAX_REF-2000/rf/None,0.589782846834,0.714243851832,0.652547795784,0.627990430622,0.674948538802,0.640269113203
R-MemOffsetMode.MAX_REF-2000/rf/std,0.587936507937,0.703840828124,0.68192185008,0.60408496732,0.690797732028,0.6430034087
RW-MemOffsetMode.MIN_REF-1000/svm/None,0.498528970333,0.52987577168,0.668590831919,0.375304347826,0.503158093029,0.521947589872
RW-MemOffsetMode.MIN_REF-1000/svm/std,0.498530228758,0.493322218422,0.971255060729,0.00833333333333,0.653664881814,0.489794197031
RW-MemOffsetMode.MIN_REF-1000/rf/None,0.498066631225,0.71919047619,0.625008971705,0.734458024444,0.661079143484,0.679733498074
RW-MemOffsetMode.MIN_REF-1000/rf/std,0.501446135831,0.720228684359,0.606881898058,0.758707958708,0.658,0.682794928383
R-MemOffsetMode.SUM_REF_ASC-1000/svm/None,0.542958204586,0.568484412125,0.908518518519,0.174685421995,0.695667198108,0.541601970257
R-MemOffsetMode.SUM_REF_ASC-1000/svm/std,0.546875914783,0.551191749427,0.981746031746,0.0335632183908,0.703388659736,0.507654625068
R-MemOffsetMode.SUM_REF_ASC-1000/rf/None,0.54431372549,0.768241758242,0.720685897436,0.720697511805,0.723234340675,0.72069170462
R-MemOffsetMode.SUM_REF_ASC-1000/rf/std,0.540537188468,0.760244379277,0.736216524217,0.719523809524,0.743878155966,0.72787016687
R-MemOffsetMode.MEAN-1000/svm/None,0.542611073137,0.561921476087,0.932638888889,0.137242660721,0.698380450242,0.534940774805
R-MemOffsetMode.MEAN-1000/svm/std,0.55053963563,0.549728960767,0.975304347826,0.0216374269006,0.70023708697,0.498470887363
